lon,lat,Number,Name,Issued,Expiration,Capacity,Company,Waterway,State
-91.1790093,45.1785875,2639,CORNELL,12/26/1973,11/30/2023,30750,NORTHERN STATES POWER CO (WI),CHIPPEWA RIVER WI,WI
-88.5253353,37.060704,2570,RACINE,12/27/1973,11/30/2023,47500,"AEP GENERATION RESOURCES, INC.",OHIO RIVER WV,WV
-85.3536658,33.612762,2628,R L HARRIS,12/27/1973,11/30/2023,135000,ALABAMA POWER CO (AL),TALLAPOOSA RIVER AL,AL
-81.1978114,34.1354828,1894,PARR SHOALS ((PS&CON),8/28/1974,6/30/2020,526080,SOUTH CAROLINA ELECTRIC&GAS CO (SC),BROAD RIVER SC,SC
-121.2861759,40.3134036,619,BUCKS CREEK,12/19/1974,12/31/2018,84800,PACIFIC GAS AND ELECTRIC CO (C,NOTTH FORK FEATHER RIVER CA,CA
-117.050991,46.399883,2736,AMERICAN FALLS,3/31/1975,2/28/2025,92400,IDAHO POWER CO (ID),SNAKE RIVER ID,ID
-88.5253353,37.060704,2614,GREENUP,3/29/1976,2/28/2026,70560,HAMILTON CITY OF (OH),OHIO RIVER OH,OH
-118.8258913,37.0578345,2735,HELMS PUMPED STORAGE,5/18/1976,4/30/2026,1053000,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK KINGS RIVER CA,CA
-121.9798616,40.4104291,1121,BATTLE CREEK,8/13/1976,7/31/2026,36100,PACIFIC GAS AND ELECTRIC CO (C,SOUTH FORK BATTLE CREEK CA,CA
-79.9009794,38.1552304,2716,BATH COUNTY PUMPED STORAGE,1/10/1977,12/31/2026,2484000,ALLEGHENY GENERATING CO (VA),LITTLE BACK CREEK VA,VA
-85.0170395,34.4816257,2725,ROCKY MOUNTAIN PUMPED STORAGE,1/21/1977,12/31/2026,904000,GEORGIA POWER CO (GA),OOSTANAULA GA,GA
-82.996881,35.0153409,2740,BAD CREEK PUMPED STORAGE,8/1/1977,7/31/2027,1065000,"DUKE ENERGY CAROLINAS, LLC.",WHITEWATER RIVER SC,SC
-120.5101643,37.4383158,120,BIG CREEK NO 3,9/7/1977,2/28/2009,165375,SOUTHERN CALIFORNIA EDISON CO (CA),SAN JOAQUIN RIVER CA,CA
-70.2661789,45.6528242,2615,BRASSUA,9/16/1977,3/31/2012,4180,BRASSUA HYDROELECTRIC LTD PART (ME),MOOSE RIVER ME,ME
-118.3742489,35.1199664,2426,SOUTH SWP HYDROPOWER (PS&CON),3/22/1978,1/31/2022,1679100,CALIFORNIA DEPT-WTR RESOURCES (CA),CALIFORNIA AQUEDUCT CA,CA
-77.6274796,43.1768415,2596,STATION 160,4/13/1978,12/31/1993,340,ROCHESTER GAS & ELECTRIC CORP (NY),GENESEE RIVER NY,NY
-85.3536658,33.612762,349,MARTIN DAM,5/11/1978,6/8/2013,182456,ALABAMA POWER CO (AL),TALLAPOOSA RIVER AL,AL
